GEO_ID,NAME,Mobile Home,Mobile Home_MOE,Mobile Home (Owner occupied),Mobile Homes (Owner occupied)_MOE,Mobile Homes (Renter occupied),Mobile Homes (Renter occupied)_MOE
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,27,45.88027899,27,44,0,13
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,778,521.2417865,576,413,202,318
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,199,171.4934401,199,171,0,13
1500000US010890110283,Block Group 3; Census Tract 110.28; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,6,15.8113883,6,9,0,13
1500000US010890102001,Block Group 1; Census Tract 102; Madison County; Alabama,101,94.89467846,101,94,0,13
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110242,Block Group 2; Census Tract 110.24; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110261,Block Group 1; Census Tract 110.26; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,485,448.9109043,319,380,166,239
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110211,Block Group 1; Census Tract 110.21; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890110281,Block Group 1; Census Tract 110.28; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890111002,Block Group 2; Census Tract 111; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,8,18.38477631,0,13,8,13
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,383,354.6843667,84,101,299,340
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,161,136.0147051,128,128,33,46
1500000US010890112022,Block Group 2; Census Tract 112.02; Madison County; Alabama,124,169.4992625,0,13,124,169
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,0,18.38477631,0,13,0,13
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,0,18.38477631,0,13,0,13
